73k, train_mse: 0.001971738, test1_mse: 0.0019190633, test2_mse: 7.198844e-05
74k, train_mse: 0.0019262214, test1_mse: 0.0018657489, test2_mse: 8.975496e-05
75k, train_mse: 0.0019199904, test1_mse: 0.0018339517, test2_mse: 0.00010219531
76k, train_mse: 0.0019708744, test1_mse: 0.0019297231, test2_mse: 0.0017327792
77k, train_mse: 0.0021340407, test1_mse: 0.002053975, test2_mse: 0.0007544156
78k, train_mse: 0.0021074654, test1_mse: 0.0019980252, test2_mse: 0.0016121981
79k, train_mse: 0.0018567587, test1_mse: 0.0017735274, test2_mse: 0.0010171192
80k, train_mse: 0.0023913365, test1_mse: 0.002305014, test2_mse: 0.0030333502
81k, train_mse: 0.0018523335, test1_mse: 0.001770989, test2_mse: 6.9609196e-05
82k, train_mse: 0.0018530586, test1_mse: 0.0017376536, test2_mse: 0.0005191374
83k, train_mse: 0.0022019907, test1_mse: 0.0020995834, test2_mse: 0.0003782507
84k, train_mse: 0.0029489012, test1_mse: 0.00289321, test2_mse: 6.920212e-05
85k, train_mse: 0.0028751919, test1_mse: 0.0028077823, test2_mse: 5.2162126e-05
86k, train_mse: 0.002913287, test1_mse: 0.002907907, test2_mse: 0.000114866896
87k, train_mse: 0.00300495, test1_mse: 0.0028821542, test2_mse: 4.188465e-05
88k, train_mse: 0.0030091207, test1_mse: 0.0029536227, test2_mse: 3.7545087e-05
89k, train_mse: 0.0028055974, test1_mse: 0.0026937008, test2_mse: 3.3897642e-05
90k, train_mse: 0.0029206183, test1_mse: 0.0027521339, test2_mse: 3.6185247e-05
91k, train_mse: 0.002636388, test1_mse: 0.0025293839, test2_mse: 6.175856e-05
92k, train_mse: 0.002658896, test1_mse: 0.002498525, test2_mse: 3.335821e-05
93k, train_mse: 0.0027654609, test1_mse: 0.0025884851, test2_mse: 3.12683e-05
94k, train_mse: 0.002661323, test1_mse: 0.0026001248, test2_mse: 0.00030768977
95k, train_mse: 0.0024194152, test1_mse: 0.0023658106, test2_mse: 3.6542722e-05
96k, train_mse: 0.0024655059, test1_mse: 0.0023976609, test2_mse: 3.4251283e-05
97k, train_mse: 0.0025891298, test1_mse: 0.0025969122, test2_mse: 3.794859e-05
98k, train_mse: 0.003703047, test1_mse: 0.0039017226, test2_mse: 3.6845144e-05
99k, train_mse: 0.0029308314, test1_mse: 0.0028978314, test2_mse: 0.00011855353
100k, train_mse: 0.0028060211, test1_mse: 0.0028235563, test2_mse: 3.466138e-05
101k, train_mse: 0.0028734363, test1_mse: 0.0028716973, test2_mse: 0.0024133837
102k, train_mse: 0.0027535884, test1_mse: 0.0027900715, test2_mse: 4.305291e-05
103k, train_mse: 0.002601528, test1_mse: 0.0025302176, test2_mse: 0.00018884188
104k, train_mse: 0.0024202308, test1_mse: 0.0024583854, test2_mse: 0.00030730566
105k, train_mse: 0.0023507208, test1_mse: 0.0023356727, test2_mse: 0.0021864907
106k, train_mse: 0.0022849755, test1_mse: 0.0022560838, test2_mse: 0.00034260756
107k, train_mse: 0.002291908, test1_mse: 0.0023158162, test2_mse: 0.001090028
108k, train_mse: 0.0020387175, test1_mse: 0.0019860072, test2_mse: 0.00025196362
109k, train_mse: 0.0021083122, test1_mse: 0.002081664, test2_mse: 0.00031366013
110k, train_mse: 0.0021294325, test1_mse: 0.002086902, test2_mse: 0.00034381432
111k, train_mse: 0.0022143521, test1_mse: 0.0021641129, test2_mse: 0.00014303623
112k, train_mse: 0.002173155, test1_mse: 0.0021010144, test2_mse: 0.0010367734
113k, train_mse: 0.002170667, test1_mse: 0.0021208036, test2_mse: 0.0011239152
114k, train_mse: 0.0019012976, test1_mse: 0.0019365695, test2_mse: 0.00014375153
115k, train_mse: 0.0020293253, test1_mse: 0.0019915234, test2_mse: 6.251568e-05
116k, train_mse: 0.0019163539, test1_mse: 0.0018734022, test2_mse: 0.00017931788
117k, train_mse: 0.0017349757, test1_mse: 0.0016815104, test2_mse: 0.00030649558
118k, train_mse: 0.0016165891, test1_mse: 0.001577229, test2_mse: 0.0003118384
119k, train_mse: 0.0017166915, test1_mse: 0.0016092862, test2_mse: 0.0015600609
120k, train_mse: 0.0015965133, test1_mse: 0.00152047, test2_mse: 0.0008899427
121k, train_mse: 0.0017191865, test1_mse: 0.0015937411, test2_mse: 0.00014293379
122k, train_mse: 0.0016888786, test1_mse: 0.00165766, test2_mse: 0.0009146012
123k, train_mse: 0.001681872, test1_mse: 0.0016154984, test2_mse: 3.815129e-05
124k, train_mse: 0.002029048, test1_mse: 0.00197031, test2_mse: 0.0009513087
125k, train_mse: 0.002557398, test1_mse: 0.0025234239, test2_mse: 0.00022960093
126k, train_mse: 0.0025226325, test1_mse: 0.0026005579, test2_mse: 0.0006475018
127k, train_mse: 0.0027918478, test1_mse: 0.0028376393, test2_mse: 0.00045327572
128k, train_mse: 0.0029901005, test1_mse: 0.0029530688, test2_mse: 3.5799436e-05
129k, train_mse: 0.0029146872, test1_mse: 0.0029218106, test2_mse: 7.288524e-05
130k, train_mse: 0.002652788, test1_mse: 0.002619422, test2_mse: 3.5970155e-05
131k, train_mse: 0.002580586, test1_mse: 0.0025470688, test2_mse: 0.00017026594
132k, train_mse: 0.0026107868, test1_mse: 0.002558652, test2_mse: 0.00015123488
133k, train_mse: 0.002587613, test1_mse: 0.0025913299, test2_mse: 4.9853108e-05
134k, train_mse: 0.0029149763, test1_mse: 0.0028230038, test2_mse: 3.578742e-05
135k, train_mse: 0.0027375396, test1_mse: 0.002621708, test2_mse: 3.730512e-05
136k, train_mse: 0.002457045, test1_mse: 0.0024342525, test2_mse: 3.0451347e-05
137k, train_mse: 0.0024160263, test1_mse: 0.0024218557, test2_mse: 0.0001832815
138k, train_mse: 0.00222444, test1_mse: 0.0022428262, test2_mse: 0.00031620223
139k, train_mse: 0.0022832465, test1_mse: 0.0022671374, test2_mse: 0.00030780118
140k, train_mse: 0.002268494, test1_mse: 0.0022173047, test2_mse: 0.00013624974
141k, train_mse: 0.0023519571, test1_mse: 0.0023023195, test2_mse: 2.5651754e-05
142k, train_mse: 0.0021220858, test1_mse: 0.0021078668, test2_mse: 3.1850755e-05
143k, train_mse: 0.0020978083, test1_mse: 0.0021049555, test2_mse: 3.029412e-05
144k, train_mse: 0.002062757, test1_mse: 0.0020187413, test2_mse: 3.680899e-05
145k, train_mse: 0.0018126713, test1_mse: 0.0018065092, test2_mse: 4.2796688e-05
146k, train_mse: 0.0018316734, test1_mse: 0.0018004458, test2_mse: 4.845112e-05
147k, train_mse: 0.0018741846, test1_mse: 0.0018469796, test2_mse: 4.452138e-05
148k, train_mse: 0.0018156042, test1_mse: 0.0017294069, test2_mse: 4.8181693e-05
149k, train_mse: 0.001853431, test1_mse: 0.0017722468, test2_mse: 3.2738022e-05
150k, train_mse: 0.0017425499, test1_mse: 0.0016510519, test2_mse: 2.7531158e-05
151k, train_mse: 0.0017454885, test1_mse: 0.0016565252, test2_mse: 6.629864e-05
152k, train_mse: 0.0017943752, test1_mse: 0.0016865786, test2_mse: 4.9722377e-05
153k, train_mse: 0.0019692497, test1_mse: 0.0018525121, test2_mse: 3.5154288e-05
154k, train_mse: 0.0019391398, test1_mse: 0.0018351206, test2_mse: 0.00017615617
155k, train_mse: 0.0019477489, test1_mse: 0.0017971427, test2_mse: 4.1076146e-05
156k, train_mse: 0.0018765305, test1_mse: 0.0017682731, test2_mse: 2.3575823e-05
157k, train_mse: 0.0020578748, test1_mse: 0.0019478643, test2_mse: 3.4844026e-05
158k, train_mse: 0.0018273367, test1_mse: 0.0017014376, test2_mse: 0.0003029717
159k, train_mse: 0.001973718, test1_mse: 0.001856674, test2_mse: 0.00018739433
160k, train_mse: 0.0018674018, test1_mse: 0.0017805739, test2_mse: 0.0001879113
161k, train_mse: 0.0019162296, test1_mse: 0.0018493565, test2_mse: 0.00022547177
162k, train_mse: 0.001787674, test1_mse: 0.0016951407, test2_mse: 6.0353654e-05
163k, train_mse: 0.0018841183, test1_mse: 0.0017651817, test2_mse: 0.00016036892
164k, train_mse: 0.0019864263, test1_mse: 0.0019089596, test2_mse: 7.4598676e-05
165k, train_mse: 0.0025887738, test1_mse: 0.0024628323, test2_mse: 0.00018430669
166k, train_mse: 0.0026196835, test1_mse: 0.002548339, test2_mse: 0.00047682275
167k, train_mse: 0.002699902, test1_mse: 0.0027372083, test2_mse: 0.00062945334
168k, train_mse: 0.0026618373, test1_mse: 0.002671608, test2_mse: 6.530205e-05
169k, train_mse: 0.0025375297, test1_mse: 0.0026163822, test2_mse: 3.8730508e-05
170k, train_mse: 0.00274931, test1_mse: 0.0028070807, test2_mse: 0.0001897608
171k, train_mse: 0.0026142758, test1_mse: 0.0027205488, test2_mse: 0.0002389608
172k, train_mse: 0.0025660254, test1_mse: 0.0026145463, test2_mse: 6.832358e-05
173k, train_mse: 0.0025947792, test1_mse: 0.00263077, test2_mse: 4.8394984e-05
174k, train_mse: 0.0025637033, test1_mse: 0.0026283297, test2_mse: 0.0005221997
175k, train_mse: 0.0024681855, test1_mse: 0.0025295475, test2_mse: 0.00030182043
176k, train_mse: 0.002713746, test1_mse: 0.0027466032, test2_mse: 0.00011526198
177k, train_mse: 0.0028770731, test1_mse: 0.0029121146, test2_mse: 9.288869e-05
178k, train_mse: 0.0025769148, test1_mse: 0.0026365449, test2_mse: 6.615754e-05
179k, train_mse: 0.002512131, test1_mse: 0.0025281864, test2_mse: 4.271555e-05
180k, train_mse: 0.0025249664, test1_mse: 0.0025063013, test2_mse: 3.5937555e-05
181k, train_mse: 0.0024309182, test1_mse: 0.0024960188, test2_mse: 3.2906115e-05
182k, train_mse: 0.0022494504, test1_mse: 0.0022590624, test2_mse: 2.5955753e-05
183k, train_mse: 0.0025865945, test1_mse: 0.002553875, test2_mse: 3.8654813e-05
184k, train_mse: 0.0027861483, test1_mse: 0.0027124945, test2_mse: 6.0029386e-05
185k, train_mse: 0.002811511, test1_mse: 0.00277265, test2_mse: 3.550334e-05
186k, train_mse: 0.0025239696, test1_mse: 0.0024975925, test2_mse: 3.277199e-05
187k, train_mse: 0.0029081353, test1_mse: 0.0028709187, test2_mse: 6.175853e-05
188k, train_mse: 0.0030537886, test1_mse: 0.0029606286, test2_mse: 4.1728483e-05
189k, train_mse: 0.0024247544, test1_mse: 0.0023788405, test2_mse: 3.942789e-05
190k, train_mse: 0.0024552238, test1_mse: 0.0023647626, test2_mse: 3.930838e-05
191k, train_mse: 0.0028121031, test1_mse: 0.002669623, test2_mse: 0.00010110121
192k, train_mse: 0.0026003656, test1_mse: 0.0024521837, test2_mse: 4.019583e-05
193k, train_mse: 0.0027249628, test1_mse: 0.0026415007, test2_mse: 4.143075e-05
194k, train_mse: 0.0027312026, test1_mse: 0.0026700185, test2_mse: 3.405926e-05
