73k, train_mse: 0.0029773046, test1_mse: 0.0030799045, test2_mse: 0.00067342556
74k, train_mse: 0.0025668587, test1_mse: 0.002643605, test2_mse: 0.00019968029
75k, train_mse: 0.0025229636, test1_mse: 0.002598085, test2_mse: 0.0005235363
76k, train_mse: 0.0025074587, test1_mse: 0.0025785018, test2_mse: 0.00041179443
77k, train_mse: 0.0025116673, test1_mse: 0.0026021325, test2_mse: 0.0010694306
78k, train_mse: 0.002569874, test1_mse: 0.0025931331, test2_mse: 7.140844e-05
79k, train_mse: 0.002749054, test1_mse: 0.00283554, test2_mse: 6.785594e-05
80k, train_mse: 0.0027473366, test1_mse: 0.002828847, test2_mse: 0.00010824159
81k, train_mse: 0.0028340155, test1_mse: 0.002944735, test2_mse: 0.00013874186
82k, train_mse: 0.0028335871, test1_mse: 0.002944277, test2_mse: 8.2950166e-05
83k, train_mse: 0.0028362968, test1_mse: 0.0029468914, test2_mse: 7.623712e-05
84k, train_mse: 0.0028322684, test1_mse: 0.0029426736, test2_mse: 0.00012690997
85k, train_mse: 0.002838714, test1_mse: 0.002948944, test2_mse: 0.00015628811
86k, train_mse: 0.0028589764, test1_mse: 0.002969012, test2_mse: 0.00021350716
87k, train_mse: 0.0028322916, test1_mse: 0.0029423393, test2_mse: 0.00012436179
88k, train_mse: 0.0028327883, test1_mse: 0.0029427656, test2_mse: 0.0001274412
89k, train_mse: 0.0028321445, test1_mse: 0.002942141, test2_mse: 9.230724e-05
90k, train_mse: 0.002831256, test1_mse: 0.0029411889, test2_mse: 0.00011083124
91k, train_mse: 0.002831507, test1_mse: 0.0029414154, test2_mse: 9.851505e-05
92k, train_mse: 0.0028323107, test1_mse: 0.002942211, test2_mse: 9.188174e-05
93k, train_mse: 0.0028340623, test1_mse: 0.0029439614, test2_mse: 8.4061765e-05
94k, train_mse: 0.0028320516, test1_mse: 0.0029419083, test2_mse: 9.39152e-05
95k, train_mse: 0.002831882, test1_mse: 0.0029417188, test2_mse: 9.542442e-05
96k, train_mse: 0.0028314115, test1_mse: 0.0029412147, test2_mse: 0.00010176747
97k, train_mse: 0.0028317862, test1_mse: 0.0029415828, test2_mse: 9.667732e-05
98k, train_mse: 0.0028476934, test1_mse: 0.0029575631, test2_mse: 6.221852e-05
99k, train_mse: 0.0028318756, test1_mse: 0.0029416434, test2_mse: 9.609843e-05
100k, train_mse: 0.0028353012, test1_mse: 0.002945086, test2_mse: 8.062025e-05
101k, train_mse: 0.0028379613, test1_mse: 0.0029476117, test2_mse: 0.00015116711
102k, train_mse: 0.0028334712, test1_mse: 0.002943211, test2_mse: 8.690215e-05
103k, train_mse: 0.0028340616, test1_mse: 0.0029437921, test2_mse: 8.466246e-05
104k, train_mse: 0.0028318039, test1_mse: 0.0029414606, test2_mse: 0.00011568405
105k, train_mse: 0.0028314549, test1_mse: 0.0029411134, test2_mse: 0.00010597741
106k, train_mse: 0.0028344973, test1_mse: 0.002944184, test2_mse: 8.3326035e-05
107k, train_mse: 0.0028314956, test1_mse: 0.0029411202, test2_mse: 0.00010518505
108k, train_mse: 0.002835441, test1_mse: 0.0029450983, test2_mse: 8.058958e-05
109k, train_mse: 0.002832463, test1_mse: 0.0029420822, test2_mse: 9.2723654e-05
110k, train_mse: 0.0028463723, test1_mse: 0.0029560549, test2_mse: 6.356227e-05
111k, train_mse: 0.0028388172, test1_mse: 0.0029484543, test2_mse: 7.326908e-05
112k, train_mse: 0.0028357601, test1_mse: 0.0029453624, test2_mse: 7.9881065e-05
113k, train_mse: 0.0028315817, test1_mse: 0.0029411158, test2_mse: 0.000107221
114k, train_mse: 0.0025092487, test1_mse: 0.0026122453, test2_mse: 0.00079910463
115k, train_mse: 0.00246421, test1_mse: 0.0025032302, test2_mse: 0.00040667132
116k, train_mse: 0.0026041518, test1_mse: 0.0026394331, test2_mse: 0.00011768974
117k, train_mse: 0.0025458685, test1_mse: 0.0026149265, test2_mse: 9.647125e-05
118k, train_mse: 0.002500016, test1_mse: 0.002562757, test2_mse: 0.00012541511
119k, train_mse: 0.0024379655, test1_mse: 0.0025033362, test2_mse: 0.00016409873
120k, train_mse: 0.0027585058, test1_mse: 0.002835574, test2_mse: 0.0010298616
121k, train_mse: 0.002571563, test1_mse: 0.0026510095, test2_mse: 9.086219e-05
122k, train_mse: 0.0026211822, test1_mse: 0.0026509967, test2_mse: 6.499168e-05
123k, train_mse: 0.0026902447, test1_mse: 0.002725745, test2_mse: 5.0533283e-05
124k, train_mse: 0.002840271, test1_mse: 0.002949286, test2_mse: 0.00015746037
125k, train_mse: 0.0028426093, test1_mse: 0.0029516164, test2_mse: 0.00016551194
126k, train_mse: 0.0028320835, test1_mse: 0.002941156, test2_mse: 0.000109549896
127k, train_mse: 0.0028323676, test1_mse: 0.0029414566, test2_mse: 9.8093566e-05
128k, train_mse: 0.0028334814, test1_mse: 0.0029425842, test2_mse: 8.982047e-05
129k, train_mse: 0.002835046, test1_mse: 0.0029440855, test2_mse: 0.00013526718
130k, train_mse: 0.0028328563, test1_mse: 0.0029419526, test2_mse: 9.3635404e-05
131k, train_mse: 0.0028391043, test1_mse: 0.0029482383, test2_mse: 7.365942e-05
132k, train_mse: 0.002835892, test1_mse: 0.0029449272, test2_mse: 0.00013953599
133k, train_mse: 0.0028356742, test1_mse: 0.0029447915, test2_mse: 8.146504e-05
134k, train_mse: 0.0028451155, test1_mse: 0.0029542695, test2_mse: 6.5347675e-05
135k, train_mse: 0.002848945, test1_mse: 0.0029581103, test2_mse: 6.17677e-05
136k, train_mse: 0.0028402077, test1_mse: 0.002949223, test2_mse: 0.00015723176
137k, train_mse: 0.002837198, test1_mse: 0.002946226, test2_mse: 0.00014545137
138k, train_mse: 0.0028343515, test1_mse: 0.0029433954, test2_mse: 0.00013138242
139k, train_mse: 0.0028549505, test1_mse: 0.0029641297, test2_mse: 5.768346e-05
140k, train_mse: 0.0028331762, test1_mse: 0.00294223, test2_mse: 0.00012341469
141k, train_mse: 0.0028333762, test1_mse: 0.0029424778, test2_mse: 9.0382404e-05
142k, train_mse: 0.002838619, test1_mse: 0.002947751, test2_mse: 7.456303e-05
143k, train_mse: 0.0028327873, test1_mse: 0.0029418832, test2_mse: 9.4145595e-05
144k, train_mse: 0.002840263, test1_mse: 0.0029494008, test2_mse: 7.16839e-05
145k, train_mse: 0.0028351077, test1_mse: 0.0029442217, test2_mse: 8.32137e-05
146k, train_mse: 0.0028397767, test1_mse: 0.0029487945, test2_mse: 0.00015566096
147k, train_mse: 0.0028449774, test1_mse: 0.0029539776, test2_mse: 0.00017305108
148k, train_mse: 0.0028346484, test1_mse: 0.0029436909, test2_mse: 0.00013309493
149k, train_mse: 0.002832794, test1_mse: 0.0029418895, test2_mse: 9.409911e-05
150k, train_mse: 0.002838519, test1_mse: 0.0029476502, test2_mse: 7.475634e-05
151k, train_mse: 0.0028323384, test1_mse: 0.0029414268, test2_mse: 9.8449214e-05
152k, train_mse: 0.002837673, test1_mse: 0.0029466988, test2_mse: 0.00014745623
153k, train_mse: 0.0028388598, test1_mse: 0.0029478807, test2_mse: 0.00015220114
154k, train_mse: 0.0028494154, test1_mse: 0.0029584027, test2_mse: 0.00018603215
155k, train_mse: 0.002837467, test1_mse: 0.0029464941, test2_mse: 0.00014659388
156k, train_mse: 0.002832095, test1_mse: 0.0029411667, test2_mse: 0.000109920744
157k, train_mse: 0.0028334435, test1_mse: 0.0029424948, test2_mse: 0.000125459
158k, train_mse: 0.0028371022, test1_mse: 0.002946227, test2_mse: 7.7756005e-05
159k, train_mse: 0.002832576, test1_mse: 0.0029416683, test2_mse: 9.591258e-05
160k, train_mse: 0.0028354672, test1_mse: 0.0029445835, test2_mse: 8.208088e-05
161k, train_mse: 0.0028457793, test1_mse: 0.0029549357, test2_mse: 6.465539e-05
162k, train_mse: 0.0028467479, test1_mse: 0.002955907, test2_mse: 6.370401e-05
163k, train_mse: 0.0028520909, test1_mse: 0.0029612638, test2_mse: 5.943838e-05
164k, train_mse: 0.0028517013, test1_mse: 0.002960873, test2_mse: 5.9702263e-05
165k, train_mse: 0.0028651638, test1_mse: 0.0029743635, test2_mse: 5.3412452e-05
166k, train_mse: 0.0028513114, test1_mse: 0.002960482, test2_mse: 5.9973347e-05
167k, train_mse: 0.00285504, test1_mse: 0.0029642188, test2_mse: 5.763351e-05
168k, train_mse: 0.0028668842, test1_mse: 0.0029760876, test2_mse: 5.292652e-05
169k, train_mse: 0.0028447795, test1_mse: 0.0029539329, test2_mse: 6.571073e-05
170k, train_mse: 0.002861786, test1_mse: 0.0029709798, test2_mse: 5.453954e-05
171k, train_mse: 0.0028650528, test1_mse: 0.0029742522, test2_mse: 5.344576e-05
172k, train_mse: 0.0028491153, test1_mse: 0.0029582803, test2_mse: 6.162969e-05
173k, train_mse: 0.0028554501, test1_mse: 0.002964631, test2_mse: 5.7406887e-05
174k, train_mse: 0.0028368763, test1_mse: 0.0029460003, test2_mse: 7.828933e-05
175k, train_mse: 0.0028330148, test1_mse: 0.0029420706, test2_mse: 0.00012208214
176k, train_mse: 0.0028320423, test1_mse: 0.0029411179, test2_mse: 0.00010717537
177k, train_mse: 0.002833737, test1_mse: 0.0029427868, test2_mse: 0.00012751925
178k, train_mse: 0.002834426, test1_mse: 0.00294347, test2_mse: 0.00013181761
179k, train_mse: 0.00284858, test1_mse: 0.0029575692, test2_mse: 0.00018367972
180k, train_mse: 0.0028367834, test1_mse: 0.0029458136, test2_mse: 0.00014364264
181k, train_mse: 0.0028330463, test1_mse: 0.0029421446, test2_mse: 9.2335424e-05
182k, train_mse: 0.0028393012, test1_mse: 0.00294832, test2_mse: 0.00015388541
183k, train_mse: 0.0028358577, test1_mse: 0.002944892, test2_mse: 0.00013936905
184k, train_mse: 0.0028321417, test1_mse: 0.0029412112, test2_mse: 0.00011121678
185k, train_mse: 0.0028327226, test1_mse: 0.0029417821, test2_mse: 0.000119385644
186k, train_mse: 0.00284436, test1_mse: 0.0029533615, test2_mse: 0.00017113378
187k, train_mse: 0.0028814974, test1_mse: 0.0029904235, test2_mse: 0.00026093522
188k, train_mse: 0.0028490082, test1_mse: 0.0029579967, test2_mse: 0.0001848894
189k, train_mse: 0.0028402153, test1_mse: 0.002949231, test2_mse: 0.00015726146
190k, train_mse: 0.0028321065, test1_mse: 0.0029411784, test2_mse: 0.00011029703
191k, train_mse: 0.0028626116, test1_mse: 0.00297157, test2_mse: 0.00021957213
192k, train_mse: 0.0028468957, test1_mse: 0.00295589, test2_mse: 0.00017881794
193k, train_mse: 0.002846463, test1_mse: 0.0029554588, test2_mse: 0.00017753943
194k, train_mse: 0.0028392498, test1_mse: 0.0029482692, test2_mse: 0.00015369113
195k, train_mse: 0.0028408282, test1_mse: 0.0029498418, test2_mse: 0.00015944749
196k, train_mse: 0.0028329834, test1_mse: 0.0029420396, test2_mse: 0.00012180997
197k, train_mse: 0.002832691, test1_mse: 0.0029417847, test2_mse: 9.491477e-05
198k, train_mse: 0.0028325652, test1_mse: 0.0029416264, test2_mse: 0.00011770787
199k, train_mse: 0.0028324449, test1_mse: 0.002941508, test2_mse: 0.000116262374
200k, train_mse: 0.0028325089, test1_mse: 0.002941571, test2_mse: 0.000117053256
201k, train_mse: 0.0028320388, test1_mse: 0.0029411153, test2_mse: 0.000106255
202k, train_mse: 0.0028323017, test1_mse: 0.0029413677, test2_mse: 0.00011426121
203k, train_mse: 0.002838208, test1_mse: 0.0029473386, test2_mse: 7.536909e-05
204k, train_mse: 0.0028337797, test1_mse: 0.0029428843, test2_mse: 8.835053e-05
205k, train_mse: 0.0028491619, test1_mse: 0.002958327, test2_mse: 6.159225e-05
206k, train_mse: 0.0028614085, test1_mse: 0.0029706014, test2_mse: 5.468128e-05
207k, train_mse: 0.0028513314, test1_mse: 0.0029605022, test2_mse: 5.9959028e-05
208k, train_mse: 0.0028543528, test1_mse: 0.0029635308, test2_mse: 5.8025224e-05
209k, train_mse: 0.0028325357, test1_mse: 0.0029416278, test2_mse: 9.6288626e-05
210k, train_mse: 0.0028323114, test1_mse: 0.0029413772, test2_mse: 0.00011441188
211k, train_mse: 0.002832657, test1_mse: 0.0029417507, test2_mse: 9.520028e-05
212k, train_mse: 0.0028418356, test1_mse: 0.0029508453, test2_mse: 0.00016292631
213k, train_mse: 0.0028807176, test1_mse: 0.0029896453, test2_mse: 0.00025932377
214k, train_mse: 0.0028325836, test1_mse: 0.0029416448, test2_mse: 0.00011791125
215k, train_mse: 0.0028361059, test1_mse: 0.0029451398, test2_mse: 0.00014055303
216k, train_mse: 0.002857156, test1_mse: 0.0029661257, test2_mse: 0.00020637957
217k, train_mse: 0.0028321762, test1_mse: 0.0029412613, test2_mse: 0.000100928526
218k, train_mse: 0.0028325703, test1_mse: 0.0029416627, test2_mse: 9.5968964e-05
219k, train_mse: 0.0028320414, test1_mse: 0.002941117, test2_mse: 0.00010701928
220k, train_mse: 0.002841785, test1_mse: 0.0029507948, test2_mse: 0.00016275281
221k, train_mse: 0.002835099, test1_mse: 0.0029442129, test2_mse: 8.32428e-05
222k, train_mse: 0.0028361224, test1_mse: 0.002945243, test2_mse: 8.020555e-05
223k, train_mse: 0.002834585, test1_mse: 0.0029436958, test2_mse: 8.502521e-05
224k, train_mse: 0.0028321643, test1_mse: 0.0029412485, test2_mse: 0.000101168276
225k, train_mse: 0.0028323075, test1_mse: 0.0029413733, test2_mse: 0.0001143554
226k, train_mse: 0.0028391413, test1_mse: 0.002948161, test2_mse: 0.00015328046
227k, train_mse: 0.0028426314, test1_mse: 0.002951638, test2_mse: 0.0001655858
228k, train_mse: 0.002832459, test1_mse: 0.002941522, test2_mse: 0.00011644364
229k, train_mse: 0.0028321994, test1_mse: 0.0029412853, test2_mse: 0.00010049962
230k, train_mse: 0.002836418, test1_mse: 0.0029454508, test2_mse: 0.00014200089
231k, train_mse: 0.00283383, test1_mse: 0.0029428783, test2_mse: 0.00012813472
232k, train_mse: 0.0028321652, test1_mse: 0.0029412347, test2_mse: 0.00011177569
233k, train_mse: 0.002832052, test1_mse: 0.0029411262, test2_mse: 0.00010806413
234k, train_mse: 0.002836724, test1_mse: 0.002945755, test2_mse: 0.00014338101
235k, train_mse: 0.0028341804, test1_mse: 0.0029432257, test2_mse: 0.0001303557
236k, train_mse: 0.0028330043, test1_mse: 0.0029420601, test2_mse: 0.000121990335
237k, train_mse: 0.002832315, test1_mse: 0.0029413807, test2_mse: 0.00011446371
238k, train_mse: 0.0028327603, test1_mse: 0.0029418555, test2_mse: 9.4355346e-05
239k, train_mse: 0.0028357485, test1_mse: 0.0029448667, test2_mse: 8.124858e-05
240k, train_mse: 0.0028336155, test1_mse: 0.0029427193, test2_mse: 8.9139e-05
241k, train_mse: 0.0028395937, test1_mse: 0.0029487293, test2_mse: 7.279629e-05
242k, train_mse: 0.002832613, test1_mse: 0.0029417058, test2_mse: 9.5584895e-05
243k, train_mse: 0.0028340828, test1_mse: 0.0029431293, test2_mse: 0.00012975352
244k, train_mse: 0.0028352072, test1_mse: 0.0029443218, test2_mse: 8.2891616e-05
245k, train_mse: 0.0028331338, test1_mse: 0.002942233, test2_mse: 9.1784415e-05
246k, train_mse: 0.0028393047, test1_mse: 0.0029484394, test2_mse: 7.330067e-05
247k, train_mse: 0.0028327298, test1_mse: 0.0029418245, test2_mse: 9.459744e-05
248k, train_mse: 0.0028342567, test1_mse: 0.0029433013, test2_mse: 0.00013081532
249k, train_mse: 0.0028322432, test1_mse: 0.0029413295, test2_mse: 9.978429e-05
250k, train_mse: 0.0028321669, test1_mse: 0.0029412517, test2_mse: 0.00010110971
251k, train_mse: 0.0028350563, test1_mse: 0.0029441705, test2_mse: 8.3381434e-05
252k, train_mse: 0.002834295, test1_mse: 0.0029434038, test2_mse: 8.613446e-05
253k, train_mse: 0.0028427325, test1_mse: 0.0029518793, test2_mse: 6.813829e-05
254k, train_mse: 0.0028387865, test1_mse: 0.0029479184, test2_mse: 7.424596e-05
255k, train_mse: 0.0028408081, test1_mse: 0.0029499487, test2_mse: 7.0830014e-05
256k, train_mse: 0.0028554897, test1_mse: 0.0029646698, test2_mse: 5.7385623e-05
257k, train_mse: 0.0028376766, test1_mse: 0.0029468043, test2_mse: 7.647401e-05
258k, train_mse: 0.002832922, test1_mse: 0.0029419786, test2_mse: 0.000121264675
259k, train_mse: 0.0028331084, test1_mse: 0.0029421626, test2_mse: 0.0001228638
260k, train_mse: 0.0028341573, test1_mse: 0.0029432026, test2_mse: 0.000130213
261k, train_mse: 0.0028325312, test1_mse: 0.0029416229, test2_mse: 9.6337746e-05
262k, train_mse: 0.002832133, test1_mse: 0.0029412168, test2_mse: 0.000101836595
263k, train_mse: 0.0028356898, test1_mse: 0.0029448073, test2_mse: 8.1419814e-05
264k, train_mse: 0.0028344647, test1_mse: 0.0029435747, test2_mse: 8.547418e-05
265k, train_mse: 0.0028439742, test1_mse: 0.0029531252, test2_mse: 6.66189e-05
266k, train_mse: 0.0028573459, test1_mse: 0.0029665302, test2_mse: 5.643107e-05
267k, train_mse: 0.002842841, test1_mse: 0.0029519883, test2_mse: 6.799901e-05
268k, train_mse: 0.002840666, test1_mse: 0.002949806, test2_mse: 7.104854e-05
269k, train_mse: 0.0028422521, test1_mse: 0.0029513976, test2_mse: 6.876793e-05
270k, train_mse: 0.0028324015, test1_mse: 0.0029414908, test2_mse: 9.7697004e-05
271k, train_mse: 0.0028370742, test1_mse: 0.0029461992, test2_mse: 7.782122e-05
272k, train_mse: 0.0028366323, test1_mse: 0.002945755, test2_mse: 7.8884805e-05
273k, train_mse: 0.00283208, test1_mse: 0.0029411612, test2_mse: 0.00010334468
274k, train_mse: 0.0028430047, test1_mse: 0.0029520108, test2_mse: 0.00016680917
275k, train_mse: 0.0028321955, test1_mse: 0.0029412806, test2_mse: 0.00010057693
276k, train_mse: 0.0028363734, test1_mse: 0.0029454948, test2_mse: 7.954325e-05
277k, train_mse: 0.0028336912, test1_mse: 0.0029427405, test2_mse: 0.00012720378
278k, train_mse: 0.0028516348, test1_mse: 0.0029606172, test2_mse: 0.0001921124
279k, train_mse: 0.0028326078, test1_mse: 0.0029416687, test2_mse: 0.000118182834
280k, train_mse: 0.002848404, test1_mse: 0.002957394, test2_mse: 0.00018317983
281k, train_mse: 0.0028503835, test1_mse: 0.0029593685, test2_mse: 0.00018871225
282k, train_mse: 0.0028328933, test1_mse: 0.0029419505, test2_mse: 0.00012101119
283k, train_mse: 0.002839164, test1_mse: 0.0029481843, test2_mse: 0.00015336667
284k, train_mse: 0.0028343545, test1_mse: 0.0029434646, test2_mse: 8.589698e-05
285k, train_mse: 0.0028463034, test1_mse: 0.0029552993, test2_mse: 0.00017706477
286k, train_mse: 0.0028323208, test1_mse: 0.002941386, test2_mse: 0.000114550734
287k, train_mse: 0.002833291, test1_mse: 0.0029423914, test2_mse: 9.085904e-05
288k, train_mse: 0.0028322581, test1_mse: 0.002941325, test2_mse: 0.000113553004
289k, train_mse: 0.0028320795, test1_mse: 0.0029411518, test2_mse: 0.0001093816
290k, train_mse: 0.0028343585, test1_mse: 0.0029434026, test2_mse: 0.00013142347
291k, train_mse: 0.0028633664, test1_mse: 0.002972324, test2_mse: 0.00022134228
